what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1537350316275
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1537350317341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537350318733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537350451641
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1537350459335
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1537350478807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537350491819
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537350693759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537350703365
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1537350722526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537351101840
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537351103001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537351103265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537351104169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537351108966
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1537351109833
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1537351111074
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1537351111395
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1537351111395
stopped,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1537351111404
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1537351111404
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1537351111404
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1537351111404
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1537351111405
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1537351111405
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1537351111405
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1537351111406
